WADMPR;Kasus_positive
Aceh;124
Sumatera Utara;59
Sumatera Barat;179
Riau;377
Jambi;60
Sumatera Selatan;147
Bengkulu;102
Lampung;66
Bangka Belitung;200
Kepulauan Riau;180
DKI Jakarta;926
Jawa Barat;754
Jawa Tengah;198
DI Yogyakarta;128
Jawa Timur;231
Banten;53
Bali;142
Nusa Tenggara Barat;18
Nusa Tenggara Timur;31
Kalimantan Barat;98
Kalimantan Tengah;108
Kalimantan Selatan;88
Kalimantan Timur;137
Kalimantan Utara;7
Sulawesi Utara;6
Sulawesi Tengah;20
Sulawesi Selatan;25
Sulawesi Tenggara;7
Gorontalo;6
Sulawesi Barat;3
Maluku;0
Maluku Utara;0
Papua;0
Papua Barat;32
